V1,MedianDiff,Modified Zscore,,,
2.072345,6.148643,0.47022818,,Median,8.220988
17.93671,9.715722,0.743026758,,,
1.083576,7.137412,0.545846011,,MAD,8.81967495
11.12067,2.899682,0.22175823,,,
23.71155,15.490562,1.184667704,,,
24.16993,15.948942,1.219723112,,,
21.66578,13.444792,1.02821388,,,
4.693684,3.527304,0.269756716,,,
19.21191,10.990922,0.840549899,,,
4.230391,3.990597,0.305187855,,,
9.12713,0.906142,0.069298787,,,
0.4075031,7.8134849,0.597549864,,,
7.314846,0.906142,0.069298787,,,
-3.438403,11.659391,0.89167223,,,
17.63935,9.418362,0.720285635,,,
4.415292,3.805696,0.291047229,,,
11.94122,3.720232,0.28451122,,,
1000,991.779012,75.84802698,,,
999,990.779012,75.77155024,,,
-1000,1008.220988,77.10545573,,,
0.0000001,8.2209879,0.628714365,,,
-2000,2008.220988,153.5821971,,,
